Run,Equation_Index,Hybrid_MSE_Train,Hybrid_AIC_Train,Hybrid_BIC_Train,Hybrid_MDL_Train,Hybrid_PSM_Train,Extrapolation_Divergence,Sensitivity_Interpolation,Sensitivity_Extrapolation,Lambda1,Lambda2,Lambda3,Complexity,MSE_Test_Interpolation,MSE_Test_Extrapolation
1,0,0.9367554507159735,0.9500041976780617,0.947270607590563,0.1617789468432773,0.0,0.0,0.0,0.0,0.7,0.4,0.3,1,0.6312463466654366,0.7345712926381032
1,1,0.936755302554951,0.9543427694134665,0.9623370962372103,0.16845217386265232,1.7719302522180376e-07,0.0,0.0,0.0,0.7,0.4,0.3,3,0.6312734150743897,0.7345201789022469
1,2,0.820807630506551,0.8604314810958474,0.8501917340762108,0.17808707036034954,0.3852180758498629,0.06813971312070172,1.3946093353240001e-05,1.819234230751e-05,0.7,0.4,0.3,4,0.5957865790243732,0.5775198062603945
1,3,0.5065857450300885,0.5616436342518698,0.5453254791682574,0.10009374190470784,0.807630058613081,0.07420903821564129,1.463228373799e-05,1.362528541529e-05,0.7,0.4,0.3,5,0.4774601040626142,0.5021904687745891
1,4,0.5016545238440501,0.5566371541304402,0.5402528193584626,0.09921451433835975,0.05113230362203736,0.06878797903254187,1.081873018172e-05,1.0411336084139999e-05,0.7,0.4,0.3,6,0.4769517376847493,0.5059241838212918
1,5,0.4577052959663477,0.509008836190251,0.4900062226798029,0.08834851231006889,0.16615142108924225,0.06916220003219643,7.296816827079882e-06,6.511655617898893e-06,0.7,0.4,0.3,7,0.4928831276591585,0.461437144617192
1,6,0.4301212667914268,0.47877114309259333,0.45829683990293624,0.08120287119577657,0.11127141465444147,0.06441888014798267,6.223177721774169e-06,5.989087068812407e-06,0.7,0.4,0.3,8,0.4379987387067785,0.3950793286705397
1,7,0.3722013705015759,0.41352362425197114,0.3897924662563877,0.0613419268366217,0.18585739336985554,0.056303685330720776,4.0073605121620635e-06,4.165120219170284e-06,0.7,0.4,0.3,9,0.449835574739874,0.412889194933948
1,8,0.332844660668669,0.3663743238170846,0.33986405999958064,0.05737508296213661,0.10557631973467227,0.06156031792865452,3.5504475936250693e-06,4.020129163634141e-06,0.7,0.4,0.3,11,0.461173899891692,0.3951380109594165
1,9,0.2900004301131369,0.31398223439244266,0.28458419210029484,0.04815290293783356,0.10843449789942763,0.06216105493567738,3.324772957426808e-06,3.475290511885875e-06,0.7,0.4,0.3,13,0.4360918375843016,0.3764570642656388
