Metric,Pre_Norm_Mean,Pre_Norm_Std,Pre_Norm_Min,Pre_Norm_Max,Post_Norm_Mean,Post_Norm_Std,Post_Norm_Min,Post_Norm_Max,Post_Norm_Range
MSE_Train,0.5281032819418814,0.0736419554353355,0.3790948925721958,0.8014502763984833,0.35280333831608496,0.17436016742152888,0.0,1.0,1.0
AIC_Train,807.4083157847239,38.46346777446217,709.8355712890625,943.9560546875,0.4167629550363066,0.16428920364478825,0.0,1.0,1.0
BIC_Train,844.138363410909,34.696333719711504,764.0451,995.40344,0.34618705948058337,0.14996794029431348,0.0,1.0,1.0
MDL_Train,600.2713610168297,167.5435446817822,429.9405530899607,1259.9888377270215,0.20520590317386941,0.20184795003225697,0.0,1.0,1.0
PSM_Train,0.007064608914830906,0.014677198253747912,0.0,0.161318028637319,0.04379305260860715,0.09098300033622236,0.0,1.0,1.0
Extrapolation_Divergence,0.7137125149251559,0.7061934159626315,0.0,10.0,0.07137125149251558,0.07061934159626303,0.0,1.0,1.0
Sensitivity_Interpolation_SVP,0.052882194178831714,0.7118124540678353,0.0,10.0,0.005288219417883172,0.07118124540678358,0.0,1.0,1.0
Sensitivity_Interpolation_MVP,0.09585028567512384,0.9372448810316623,0.0,10.0,0.009585028567512381,0.09372448810316616,0.0,1.0,1.0
Sensitivity_Extrapolation_SVP,0.05062132597988691,0.6693187424549824,0.0,10.0,0.00506213259798869,0.06693187424549832,0.0,1.0,1.0
Sensitivity_Extrapolation_MVP,0.07760696433623272,0.809240062195026,0.0,10.0,0.007760696433623272,0.08092400621950263,0.0,1.0,1.0
