Metric,Pre_Norm_Mean,Pre_Norm_Std,Pre_Norm_Min,Pre_Norm_Max,Post_Norm_Mean,Post_Norm_Std,Post_Norm_Min,Post_Norm_Max,Post_Norm_Range
MSE_Train,26.74920115313902,47.13130586036796,8.113008008126286,246.71646544180385,0.078105293801926,0.1975298529505534,0.0,1.0,1.0
AIC_Train,32700.05602802122,4961.886768737913,29134.14453125,51354.91015625,0.16047653609015633,0.2232995411803196,0.0,1.0,1.0
BIC_Train,32757.430211562114,4936.040457495787,29313.875,51361.594,0.15618646135512324,0.22387986972692217,0.0,1.0,1.0
MDL_Train,16571.4063802873,2375.651234484852,14981.495835753194,25686.78826280784,0.14851631147562577,0.2219137170397191,0.0,1.0,1.0
PSM_Train,0.04651247587074828,0.13152405149736102,0.0,1.3073856460767788,0.035576706850288256,0.1006008073379421,0.0,1.0,1.0
Extrapolation_Divergence,2.187909399446762,2.3281440379045892,0.0,10.0,0.21879093994467624,0.23281440379045906,0.0,1.0,1.0
Sensitivity_Interpolation_SVP,0.30224746920219425,0.5280429995558668,0.0,9.62341527791256,0.03140750559688572,0.05487064460034464,0.0,1.0,1.0
Sensitivity_Interpolation_MVP,1.3820725239309235,1.2457504732279387,0.0,9.62341527791256,0.14361559633647156,0.12944993406729072,0.0,1.0,1.0
Sensitivity_Extrapolation_SVP,2.250355955688606,3.2120114334517873,0.0,10.0,0.22503559556886055,0.3212011433451791,0.0,1.0,1.0
Sensitivity_Extrapolation_MVP,5.784270247324399,3.995487760371716,0.0,10.0,0.5784270247324399,0.3995487760371714,0.0,1.0,1.0
