Metric,Pre_Norm_Mean,Pre_Norm_Std,Pre_Norm_Min,Pre_Norm_Max,Post_Norm_Mean,Post_Norm_Std,Post_Norm_Min,Post_Norm_Max,Post_Norm_Range
MSE_Train,2.4702986906887068,0.9200036900261851,1.95457440564514,8.209817732772713,0.0824467183885537,0.14707720258240592,0.0,1.0,1.0
AIC_Train,1037.1066428866586,57.395225444723856,989.118408203125,1356.43896484375,0.13064402145748652,0.15625377999434295,0.0,1.0,1.0
BIC_Train,1075.9009908252426,60.40710452140517,1002.87946,1360.0521,0.20444323738022793,0.1691257889221445,0.0,1.0,1.0
MDL_Train,729.9510351140781,188.8579043633246,512.5380383638558,1450.3875673230311,0.23182076659089124,0.20137335311445845,0.0,1.0,1.0
PSM_Train,0.017615614449835428,0.06787699165738201,0.0,0.6499526957583376,0.027102917742778596,0.10443374125587096,0.0,1.0,1.0
Extrapolation_Divergence,1.6794863530368407,2.1155391952783753,0.0,10.0,0.1679486353036841,0.211553919527838,0.0,1.0,1.0
Sensitivity_Interpolation_SVP,0.11894105313538517,0.9394843856684437,0.0,10.0,0.011894105313538515,0.0939484385668444,0.0,1.0,1.0
Sensitivity_Interpolation_MVP,0.19090497370818282,1.1989942368066524,0.0,10.0,0.019090497370818284,0.11989942368066522,0.0,1.0,1.0
Sensitivity_Extrapolation_SVP,0.9878547004136893,2.790675891317284,0.0,10.0,0.09878547004136891,0.27906758913172836,0.0,1.0,1.0
Sensitivity_Extrapolation_MVP,1.0575126218353077,2.8828807972795483,0.0,10.0,0.10575126218353079,0.288288079727955,0.0,1.0,1.0
