Metric,Pre_Norm_Mean,Pre_Norm_Std,Pre_Norm_Min,Pre_Norm_Max,Post_Norm_Mean,Post_Norm_Std,Post_Norm_Min,Post_Norm_Max,Post_Norm_Range
MSE_Train,58.988012166096766,79.21310367563237,4.100455149110792,550.0989114120391,0.10052694542886143,0.14507935465203395,0.0,1.0,1.0
AIC_Train,280.42534877726337,20.23436441239167,238.6256561279297,418.8536987304688,0.23192668602363656,0.11227089924632304,0.0,1.0,1.0
BIC_Train,301.241596121242,23.540053730020936,255.95425,420.51727,0.2751975876551244,0.14304582967680704,0.0,1.0,1.0
MDL_Train,403.4216473033492,216.0317318588066,150.5168242994022,1079.075879294259,0.2723626694969312,0.23265265757383963,0.0,1.0,1.0
PSM_Train,0.03650810401853585,0.1223592798616017,0.0,1.376416223941762,0.026524029129782002,0.08889700494171081,0.0,1.0,1.0
Extrapolation_Divergence,0.9669055501702957,0.63825761247491,0.0,10.0,0.09669055501702958,0.063825761247491,0.0,1.0,1.0
Sensitivity_Interpolation_SVP,4.748411420809906,3.923537453443123,0.0,10.0,0.4748411420809906,0.39235374534431233,0.0,1.0,1.0
Sensitivity_Interpolation_MVP,5.377431294969346,3.9637586707189056,0.0,10.0,0.5377431294969347,0.3963758670718893,0.0,1.0,1.0
Sensitivity_Extrapolation_SVP,4.760956411283859,4.126703525340459,0.0,10.0,0.476095641128386,0.41267035253404805,0.0,1.0,1.0
Sensitivity_Extrapolation_MVP,5.429151234170435,4.108373872227087,0.0,10.0,0.5429151234170435,0.4108373872227069,0.0,1.0,1.0
