Run,Equation_Index,RMSE_Train,RMSE_Test_Interpolation,RMSE_Test_Extrapolation
14,0,2.7040514155310023,2.9735210890914114,5.126612073213087
14,1,2.108862895735422,2.215268538772476,3.2094218857397965
14,2,1.5950371532018108,1.3886811720111056,1.3027927436178608
14,3,1.5933726559438466,1.3372166994742143,1.6186893273144036
14,4,1.5797220199666184,1.3715953084108874,1.3249493438515207
14,5,1.5776567706571414,1.3957028117778791,1.433847022948918
14,6,1.5751073048108828,1.4144307787848347,1.4554708479704381
14,7,1.5739341840230041,1.3976875439778942,1.3835805677048623
14,8,1.5714458655637469,1.4348387795797957,1.9736995812721119
14,9,1.5691104226389931,1.441515012299533,3.6696814562671487
14,10,1.5608469309704243,1.4741220251688971,1.8523734922957125
14,11,1.558126433001408,1.5038604080333746,2.249847934195092
14,12,1.5568040742190812,1.5520551625503598,3.5236016968873956
14,13,1.5550982705538265,1.5902918115920042,4.21888886063098
14,14,1.5539673010034867,1.5745401900624478,2.74632411868329
14,15,1.5538971134596273,1.57311871299556,2.7689362780786
14,16,1.551773461336006,1.567272915783756,3.859837388230179
14,17,1.5509818264747277,1.5825362850734819,4.030853842675719
14,18,1.5465733624770701,1.5512874229682463,2.1479914364648405
14,19,1.5463325092797011,1.534074513936865,2.1173115261791655
14,20,1.5462978388618074,1.5477966940315486,2.1452173994632573
14,21,1.5426313208505786,1.4822318717271277,1.7809311987881271
14,22,1.5385693648538565,1.525143850128556,2.1033837470470504
14,23,1.5373953451585685,1.4888428335112025,1.6917365998441556
14,24,1.5355322182764783,1.5800481811050298,1.828031124647572
14,25,1.5344530762174267,1.5957195050198048,2.151578875556257
14,26,1.52948082202136,1.5849985193502896,2.164773944039055
14,27,1.528927567182036,1.5293252495669267,1.5901433439268622
14,28,1.5249826718374864,1.5885903127535401,1.8550538018548774
14,29,1.5182874792500254,1.602768099384738,2.226626392315299
14,30,1.5175366459891784,1.5330205154988452,2.051239068556803
14,31,1.514886182321425,1.6335767351471575,4.155849786084496
14,32,1.5108458309752197,1.570077053109184,55.008098086748014
14,33,1.5108187946120646,1.5695014137006458,54.91314678646296
14,34,1.5080002704818483,1.6031999050933734,55.30821335636573
14,35,1.5061485620822135,1.5713186340763527,224.4361716767466
14,36,1.5059477073698655,1.642772674054023,223.5597923038929
14,37,1.5046491846571404,1.5721396031106043,221.71291497377
14,38,1.5040764098845845,1.6662805711889686,5.04230287963247
14,39,1.5034918903372791,1.6573027543733942,4.784338348368853
14,40,1.5029188771907942,1.6614025808919004,4.889524500693497
14,41,1.4987748964144172,1.6590275310858835,5.013077831035159
