Run,Equation_Index,RMSE_Train,RMSE_Test_Interpolation,RMSE_Test_Extrapolation
1,0,3.166578848250786,3.9754441612890017,5.132823751280683
1,1,2.8038472379500687,3.6938276006380377,3.443324881654331
1,2,2.649369204058652,3.5525540158896356,2.3485106513689793
1,3,2.6493692055526314,3.552553935481175,2.3485105609836014
1,4,2.644786148966619,3.702610159950442,3.1620477801361617
1,5,2.6391774799715626,3.387204155004725,3.2993487222082365
1,6,2.6007792773819527,3.5909451121230247,2.9349401938740454
1,7,2.5765148411493874,3.648972488668849,3.083331566629717
1,8,2.559067780325206,3.6420818407878572,3.9821248073648428
1,9,2.5548141010487457,3.243471411000688,3.0315493497204797
1,10,2.508600292146681,3.6703562103808776,2.9079964253221933
1,11,2.4872504701812317,3.6771717366100134,2.0582057301041297
1,12,2.4555532703358307,3.626495355213786,1.7945264695867358
1,13,2.4294718651528786,4.310883915618126,3.1278549942529024
1,14,2.378523254862436,4.20778983605535,3.053680678679784
1,15,2.3777429354349064,3.8338879464244244,2.0900987059365264
1,16,2.3496271528651427,3.505898126812385,3.175486654389626
1,17,2.3438890942480644,3.5891598364905923,3.173018529190392
1,18,2.329242586280181,3.5649203376225875,3.1554633703499535
1,19,2.2732219459861795,3.6025690234592482,3.0118598951561038
1,20,2.261779112325745,3.7098574620413998,2.976994519232539
1,21,2.2142842551057456,3.543154154694254,2.184611742394222
1,22,2.1854705580867932,3.5266313389601405,2.0568463739155756
1,23,2.182720960034637,3.5140659951301663,1.9545131739675017
1,24,2.1825860269968067,3.519903090011979,2.0892533885871045
1,25,2.1706981349141237,3.5843486956024897,3.202893643707944
1,26,2.14505105559604,3.5683707443953803,2.3723347530313785
1,27,2.1027217440353674,3.5669807123374677,2.2782666560300964
1,28,2.1003555514020085,3.5694639334505234,2.283737980862957
1,29,2.09758722243391,3.5773350695289166,2.282384754883343
1,30,2.097002177643169,3.5751263938149966,2.2945615748895976
1,31,2.092990753715398,3.550174478160267,2.2858880234715553
1,32,2.0827617287614966,3.647337190573473,2.3564026526134034
1,33,2.080406152323436,3.6763759690464655,3.237486548859676
1,34,2.024802515626718,3.6066625225761495,3.235901371517912
1,35,2.0139055053983834,3.599254799054819,3.2232115341148933
1,36,2.010661533771286,3.6033337604433595,3.2014814775925227
1,37,1.9878480675751369,3.7182162155069642,3.2773430369401577
1,38,1.9874350290470757,3.6813478257145413,3.272167433265127
1,39,1.9713090550257035,3.7224108301044785,3.2770793864628875
1,40,1.9710910526611412,3.7230156220985857,3.276853166133533
1,41,1.9709644949140028,3.7226429725209433,3.2770148590555457
1,42,1.9508781880868689,3.7135406399849127,3.28025471768868
1,43,1.932503469705155,3.616751289235366,2.850785427585263
1,44,1.9275170976579308,3.680258915148689,2.854916421275144
1,45,1.9067168528631837,3.7172198197797486,2.8733127256831477
1,46,1.899220311105535,3.785834712500415,3.231646226140585
1,47,1.8560891760902414,3.878104229941818,3.3150233363256745
1,48,1.803232924672892,3.7151632419086726,3.248014563234731
1,49,1.7981805488890916,3.8830209888289144,3.2535571801133782
1,50,1.774480004870816,3.845788206986796,3.149404842759116
1,51,1.7723490248719092,3.7168904188604475,3.249809178119972
1,52,1.758658291209769,3.6515559173800356,3.3407017773576477
1,53,1.7575360178736024,3.6661296414164153,3.315271546249323
1,54,1.7575359620647066,3.661699159002284,3.3225827232742233
1,55,1.7298485579910894,3.89799369507913,3.322158713280819
1,56,1.7223427414267152,3.896485751992599,3.325462960164768
1,57,1.7154893129742177,4.0032670400115515,3.3075996523757984
1,58,1.7033190215471965,3.9637289386937957,3.1885376614585996
1,59,1.6823798298402823,4.676490372227953,3.0547778232128717
1,60,1.6821154135161598,4.6764812839322145,3.063788263372999
1,61,1.6794186357701282,4.666269684881166,3.180268461461873
1,62,1.679157010763734,4.666261420824643,3.1889243714384166
1,63,1.6789290648709625,4.68014005092184,3.180283411251928
1,64,1.6762299617083798,5.302066043102825,3.186376543915868
1,65,1.6670137478004903,4.673179672966067,3.1649886351751446
1,66,1.6625020899347454,9.616966068708704,2.9999425910476822
1,67,1.6479277218163968,5.7915496773421635,2.99894990083319
1,68,1.6404155099705517,9.625080616773106,2.993148708042081
2,0,3.3754083204616006,3.2143106933730463,5.119020843146271
2,1,3.0103297858392546,2.882904104238189,4.605293969183605
2,2,2.8679605587967525,2.6884149007096765,3.0110367394169093
2,3,2.8660836012777926,2.6981357503811307,2.9492100751271386
2,4,2.8542746533018146,2.8700836382950166,2.7679871138255123
2,5,2.8499367802257685,2.782389636137993,2.830054322703385
2,6,2.844874947432422,2.7455706004721168,3.2613192190830986
2,7,2.8242615555471784,2.720530062450829,3.0197363733421065
2,8,2.815660873734258,2.7033546209610257,3.0544355275191966
2,9,2.773617824781146,2.5987722149954107,2.82347279562114
2,10,2.767736948434222,2.6658031858753457,2.721957467844299
2,11,2.7115845718291505,2.79402973405275,3.057356768026737
2,12,2.6820948752180707,2.645745451042652,2.8855770655274955
2,13,2.6818946484889836,2.660770441179857,2.833805355751449
2,14,2.676915286969053,2.6618022849534526,2.6741607030178733
2,15,2.6516730714115093,2.7797921634619653,2.663362089559377
2,16,2.637493386491633,2.6331968323283492,2.765994328795972
2,17,2.6150132337958376,2.8167517071223216,2.6063458372013795
2,18,2.609963055376488,2.6999255792324917,3.4325638105042477
2,19,2.5899242701778262,2.6955740612365364,3.469806566495528
2,20,2.581906012637375,2.7029625784998648,3.3861658143960818
2,21,2.5815303871059534,2.7059902021677,3.3681473680016363
2,22,2.529906403843928,2.9413838996223953,3.6324237961829002
2,23,2.455875614666953,2.8740779320335066,4.712806718859843
2,24,2.3880163930832135,3.252860974244099,2.832745365858574
2,25,2.352652639254355,3.2228094610785893,2.5887323638568494
2,26,2.345884113738304,3.025526295700547,2.42420988238757
2,27,2.3432425532427916,3.014504213298961,2.445033384776905
2,28,2.3382247125596765,3.138944130959693,2.247708790583674
2,29,2.315810424422544,2.8815383533606167,2.1197997636085595
2,30,2.298797268829552,3.2293529446604876,2.4358686958786815
2,31,2.293125731706673,3.2314774374621065,3.025099315307616
2,32,2.2890961636813083,3.212102792797917,2.3940046962233934
2,33,2.284331964217207,3.1988992754812564,2.8265990301266726
2,34,2.2682831308875167,3.2481901351788722,3.2583627153319394
2,35,2.2634015518959893,3.2582527421012,3.1453632978502664
2,36,2.243591920974437,3.4413666948291466,3.266541061616583
2,37,2.2492249895652323,3.3239977361465525,3.136327410083113
2,38,2.2394546188812336,3.114333047232809,2.3163873135002206
2,39,2.225209146361034,3.0553854639606306,2.8496778533900624
2,40,2.1266005552962985,3.3457957756000267,3.072353546867491
2,41,2.108872782898537,3.3278453486667456,3.295685728398505
2,42,2.112057551087869,3.3552610320958194,3.0656377890704087
2,43,2.1014388196491955,3.3020662350395713,3.2693021672837013
2,44,2.080655901514591,3.33726226455968,2.8751022232497396
2,45,2.0781293360607425,3.4112728211700554,3.2940786382640805
2,46,2.0584653920960077,3.1836539036398563,2.8370724240528404
2,47,2.017318575748983,3.243699009683706,2.990467432063627
2,48,2.0301380682728998,3.1171148572072322,2.8595999640584053
2,49,1.9838865044998661,3.1903321442056116,3.085539899561585
2,50,1.9960297647595011,3.1558128915783996,2.8644028287417016
2,51,1.9879480816627693,3.218210341041728,2.8993651575717645
2,52,1.97568554317766,3.2540611628106078,2.8954200322404096
2,53,1.91758726258585,3.3121449027531,2.8551888492393234
2,54,1.9133955562088962,3.2460500783158217,2.832202712160727
2,55,1.8997685588680622,3.530924195684502,3.163030971537212
2,56,1.8784295151753656,3.3932704843993697,3.3805092347719867
2,57,1.858317572707987,3.4835135359339966,2.7995094583304385
2,58,1.862014093109886,3.520403259391656,2.7482270903280823
2,59,1.8494869195194417,3.5061792217300938,2.6967639836832054
2,60,1.8462323864285681,3.494036250886273,2.695895144341421
3,0,3.2908599068873365,3.554405848820125,5.041608661107827
3,1,2.8511955715956967,3.4746657184166314,4.546848127391496
3,2,2.8061447087651743,3.5003648181068674,11.790196399379255
3,3,2.639609552045027,3.4995636840962883,2.9894320126240688
3,4,2.628679716361998,3.5528199452516356,2.780807736235814
3,5,2.6281370219589486,3.5193429869554818,2.7584357905738877
3,6,2.5663361179405744,3.5419811023442804,3.1206489636696397
3,7,2.5258710224155667,3.7075542597220963,3.0216722645429615
3,8,2.5155175915456764,3.5235601675386636,2.887504078985321
3,9,2.4634508895736373,3.565321920651708,3.0441884159179553
3,10,2.4419820630457996,3.5415675797993873,3.1910041286929056
3,11,2.436540643952188,3.532518424944847,3.267568157366895
3,12,2.3950484540167416,3.4871771259746573,3.105122993996016
3,13,2.340820301270809,3.6335218882000935,3.3151434830219877
3,14,2.3408203199064928,3.6335218521414854,3.3151435409063756
3,15,2.3390235997953264,3.646215329901676,3.2950768286445005
3,16,2.327554824805015,3.796738135187411,3.3137488199122487
3,17,2.294295302158655,3.884977616854402,3.231165635790287
3,18,2.2663878409220857,3.8149170334069726,2.6966581502463356
3,19,2.2219433092210865,3.8771091440234944,2.550554232972806
3,20,2.220583813631294,3.8799315512671178,2.5512978687447316
3,21,2.203976187501858,4.087821609247444,2.813545547412177
3,22,2.1844540330262308,4.0909995469990825,2.88499511662819
3,23,2.1801224758452777,4.121072009685686,2.988746624648978
3,24,2.180103771668106,4.1209806408379945,2.9884312806011217
3,25,2.148319673050815,3.793761768952252,2.6237564209630913
3,26,2.0453973990302567,3.528179555923909,4.505469956405762
3,27,2.041632100094288,3.5826370154089813,3.450067247507462
3,28,2.019257829915362,3.572094383922667,3.995538975158412
3,29,1.932117927715204,3.5389881594020505,3.6132882075900685
3,30,1.9089049110603546,3.5507761544286405,3.8341673504088267
3,31,1.8992637486407162,3.7445261138252683,6.123007620939229
3,32,1.888055640202618,3.8349324775744544,5.887033568301686
3,33,1.8704442800704366,3.8103521173640638,6.074258138860463
3,34,1.7975565822894115,3.6127227111990163,5.527817797505292
3,35,1.7965945009540207,3.614536591308668,5.51742925591726
3,36,1.77049793868741,3.6491556220840833,5.523328082299465
3,37,1.7490018655969553,3.668817977231804,5.559096833186701
3,38,1.7041563998579246,4.3013071268478615,4.620089186471682
4,0,3.3765564076900234,3.2257798631106116,5.196898060337234
4,1,2.976127029503051,3.041286814963052,4.705658967988732
4,2,2.8329182227763643,2.84499255826054,3.0549472870475824
4,3,2.8164954720800064,2.889299798913493,3.1138374528812203
4,4,2.779545832810266,3.022494723048294,2.9497952596158523
4,5,2.700187558593106,2.601343597461882,3.1622218609934505
4,6,2.671467749554926,2.972766922192898,3.206832747396467
4,7,2.6444318079859577,2.698724697875332,2.9442799240320645
4,8,2.6227725343505512,3.2911818457910567,2.5234391787020747
4,9,2.6192920839148415,3.2352242276228873,3.005817956389939
4,10,2.6124413722186945,3.0117573207295467,3.0759960852906603
4,11,2.6113150841706627,2.996167369296747,3.0171762962999416
4,12,2.6107238001099216,2.993475023709523,3.0197059376116577
4,13,2.5893733745684204,2.8240314395135653,2.934956344533829
4,14,2.5751695191134627,2.796282945707805,2.9276419639586564
4,15,2.562663785545875,2.830978297361366,2.9875861948276365
4,16,2.521272450095016,2.819137155613821,3.2326583106929205
4,17,2.5202365349696874,2.812224699855568,3.136086021409218
4,18,2.5193264447245673,2.8427543279056704,3.266459928889538
4,19,2.390424723105437,2.7699022438881014,3.3076174375212966
4,20,2.379214538335839,2.7657974051410914,3.2397857706599913
4,21,2.3792144663977974,2.765797593512242,3.2397848877404964
4,22,2.3495784983722223,2.684624897273325,3.1988057438302215
4,23,2.334365596444283,2.6270994368922738,2.7658385873119045
4,24,2.3092844713793155,2.621598046216253,2.7844156756699294
4,25,2.3037344773812682,3.223939679857935,3.2646153020109616
4,26,2.3026239193083673,3.1846379827821223,3.15433675405585
4,27,2.2581983378693065,3.4644550381835693,3.578935386107693
4,28,2.222047077587365,3.528481591854665,4.154601636486072
4,29,2.205871935293177,3.4804827921525274,3.6331776270248293
4,30,2.2045319992668095,3.4878429410594785,3.664784043141672
4,31,2.187198084083351,3.4987241643915183,3.7300125165872204
4,32,2.172133566725335,3.332922646371279,2.6641227113648824
4,33,2.1237553845395047,3.457971285219797,3.4139896353156893
4,34,2.096625381076277,3.1635290830129046,3.687424259153325
4,35,2.0886619993470963,3.2113727966041705,3.303183805193427
4,36,2.040667966362277,3.318839206503254,2.998663072858271
4,37,2.018400156412671,3.1241262964825034,2.8655150089940276
4,38,1.9777674787339965,3.31075460703336,2.3781525135587267
4,39,1.969625413551983,3.281496865252467,2.4395102510814253
4,40,1.954895464972657,3.195555794818245,2.8765814191308
4,41,1.9461545357600576,3.3654737439236175,2.7497224148283173
4,42,1.9393554371506458,3.2291085800321033,2.8700416719706374
4,43,1.9378645014671787,3.183388571491806,2.9055433446357526
4,46,1.8685358010004895,3.1792209487735916,3.1046334453211983
4,47,1.8682286724111032,3.1802004472523135,3.1122887154897745
4,49,1.8190746052705509,3.266761003853299,2.278320865032542
4,50,1.8188412738569402,3.264360158034865,2.272704116800316
4,51,1.8122352011503522,3.2693910035885105,2.287482793462699
4,52,1.8008390249127326,3.217833573968756,2.787796239244255
4,53,1.8008389972857948,3.2178336647112475,2.787796372160412
4,54,1.7874729085407963,3.2139045704258127,2.7635530968681126
5,0,3.2380859660735037,3.790457310801103,4.930654073691809
5,1,2.7831665312195426,3.7198419422380526,4.448680392006074
5,2,2.558511192870869,3.749108276093979,2.9012405696248824
5,3,2.5411551760657822,3.7960290781683628,2.5679887411394895
5,4,2.5411551756728405,3.796029027224328,2.567988821185256
5,5,2.493959282746408,3.789603223944834,2.6406282694296004
5,6,2.4129575518483577,3.8159475302177275,3.0671405555309432
5,7,2.366753115313725,4.092033919409902,2.8391927616006107
5,8,2.3667419915194357,4.092004288791803,2.8398805530374283
5,9,2.3392620576369865,4.03427867189421,2.8418049630676316
5,10,2.3057399229558895,4.079319229982678,2.4724355146622874
5,11,2.2272155430056255,4.399704027139355,2.6765019147341245
5,12,2.2269887731160143,4.386327154939816,2.688851122740885
5,13,2.1855087600583407,4.324212436914342,3.34949191150275
5,14,2.1813006465807225,4.296885052326392,3.166978481608662
5,15,2.1475192228450015,4.330312208803332,3.43535626452302
5,16,2.10774820591746,4.548462477733819,2.468999808584551
5,17,2.068319182904686,4.402427853889463,2.890108880694973
5,18,2.031731806181074,4.14281997987992,3.455109886431326
5,19,2.0313010239716722,4.135559234072519,3.4733632711817792
5,20,2.0312528596594728,4.133322574142502,3.479118037374086
5,21,2.1716746834852634,4.466226601733893,2.562123358354669
5,22,2.1625046957507217,4.409681676118964,2.5876971001754576
5,23,2.1285864656365274,4.5616665296392265,2.355923128405651
5,24,2.0277726504688887,4.288762493594742,2.4440325158315557
5,25,2.0271135983018835,4.303335000276543,2.422311842769873
5,26,1.9552205279604309,4.680188638025942,1.9164225169861229
5,27,2.3071450423166264,4.991588033646134,3.007210765263384
5,28,2.4009481308480916,4.5490397834608665,3.446428918650704
5,29,2.343100966989976,4.557484548614298,3.107622343129538
5,30,2.2960806349829204,4.677288073677346,3.05354709431312
5,31,2.2266076613730563,4.348730266426307,2.0621670202117923
5,32,2.2213852534876093,4.326407609539082,3.1873010147806373
5,33,2.2074557429133908,4.4049516735619605,2.0037264762071394
5,34,2.1977536354127265,5.290289030156654,3.2279808812990427
5,35,2.1503648867848986,5.403587405105118,3.127737342510982
5,36,2.2082897920208033,5.154261966305831,3.203304334822702
5,37,2.013141777592168,4.884787429834942,3.3430440220992645
5,38,2.1830027263169485,4.909271778593652,3.4867352979292456
5,39,2.1147277474165467,4.989504770685787,3.3493697642079194
5,40,2.211336980432818,5.0735568662204,3.147479927094536
5,41,2.2924671645124035,5.067666771894634,3.1067990453395686
5,42,2.28028626030643,5.09545307844783,3.0171271857532997
6,0,3.293608814831407,3.5444023817316745,5.168101206685482
6,1,2.9674770641794237,3.0568834968135166,4.571336961542532
6,2,2.8648616787534604,2.7234018141398657,2.8990273634410713
6,3,2.8648603207692425,2.721935111639891,2.9015992187873185
6,4,2.8415163659035616,2.808874184697463,2.8050007013632348
6,5,2.823279898474085,2.667777189215911,5.928185837807845
6,6,2.809826773732501,2.667933406138407,3.1592092993806378
6,7,2.808593760807354,2.6790028602383025,3.1073913269856495
6,8,2.734585321105004,2.7752871350966206,3.052398205608492
6,9,2.700665678591892,2.875515303669441,7.405821942919048
6,10,2.689925873698525,2.953725380448299,8.978595690047237
6,11,2.6694623960130097,3.10205185163247,5.767275999948887
6,12,2.582436364234711,2.894529959118911,3.021300039569906
6,13,2.551310420606439,2.970566302374779,3.1246069232589884
