Run,Equation_Index,RMSE_Train,RMSE_Test_Interpolation,RMSE_Test_Extrapolation
20,0,15.201294730126673,15.403310606356838,36.72147956914803
20,1,14.833321610583521,15.058695205110466,37.03093694064738
20,2,14.15633464484107,14.339469873587307,33.5087789350839
20,3,8.426459778886914,8.499286503860345,15.006936401004138
20,4,6.90730967658371,7.529834550650827,15.556549160161314
20,5,5.264064488175948,5.435439319510521,10.004576914307423
20,6,4.7518155233262,4.92910339763542,9.343554470555702
20,7,4.328848854498638,4.560890837610296,9.369266388050878
20,8,4.0616380310531905,4.0960998840848,6.411022400468997
20,9,3.8105273287911094,3.9700039335490236,8.27940388929697
20,10,3.5860019859129224,3.657407601196358,6.461799977660747
20,11,3.397479291947512,3.4612327550092923,6.23972816547884
20,12,3.396918596717267,3.4590507657746588,6.220707604765122
20,13,3.2851257169784716,3.379784235293056,6.590722953439464
20,14,3.270251432055137,3.3774340741710986,6.664215693159497
20,15,3.235331117446217,3.3109888278618183,6.797795531618479
20,16,3.225475102756558,3.252690103339333,6.159341945587885
20,17,3.189771678384287,3.222662356012921,5.910119454886796
20,18,3.179184370207581,3.1778627075170474,6.593748591928042
20,19,3.1663839811368986,3.1745689145831952,6.126170331637051
20,20,3.1611630569471294,3.1638856492248477,6.396844317120311
20,21,3.1318152906172245,3.0967087588592443,5.345890653090342
20,22,3.1268463651537224,3.103758115952729,5.913005651279061
20,23,3.1124290688040093,3.071642228000065,5.361847820380887
20,24,3.1040097695444926,3.131410018172368,5.7292381043102845
20,25,3.0953985692237325,3.0881813899634603,5.690452369348547
20,26,3.06502128724165,3.0439184683774156,5.427306662063106
20,27,3.0641507561434675,3.0429702386078263,5.42911689667169
20,28,3.0526796106473775,3.0200260002052315,5.388783777049162
20,29,3.0240868253623048,2.981600120285328,5.2818952668451695
20,30,3.0212584109104275,3.0263258532424815,5.491789474710681
20,31,3.0136740979777623,3.025038421805771,5.556489565771006
20,32,3.0108625474975796,3.019937747523892,5.545836700874398
20,33,3.009317942868855,2.9958833697259353,6.656806579907956
20,34,3.007726298048882,3.002736939445708,6.797001480437315
20,35,3.0059105532128454,3.0190206884919477,6.300456756686344
20,36,3.0014488541330966,3.033344946735761,6.278346938560666
20,37,2.999090735701587,3.037825887862561,6.361309994108791
20,38,2.993543059733866,3.0279631602316437,6.298235098944058
20,39,2.987983641397854,3.021503608939942,6.2788369442090515
20,40,2.986846026857243,3.0145805230242555,6.260968664789042
20,41,2.983106801632844,3.014713925382492,6.314356161295571
20,42,2.9809224281557087,2.9802776208172523,6.2370570909271645
20,43,2.9764399120131437,2.981374406822184,6.238960919520555
20,44,2.97530693100619,2.98312636083826,6.20885501221332
