Metric,Pre_Norm_Mean,Pre_Norm_Std,Pre_Norm_Min,Pre_Norm_Max,Post_Norm_Mean,Post_Norm_Std,Post_Norm_Min,Post_Norm_Max,Post_Norm_Range
MSE_Train,33.91940044122848,23.037708403026418,19.56742546282503,171.22197092953394,0.09463596975768845,0.15190911905824572,0.0,1.0,1.0
AIC_Train,1020.2316110209475,48.061377845160706,973.2947387695312,1270.953125,0.15768704804800723,0.16146488749672958,0.0,1.0,1.0
BIC_Train,1055.6603432081097,50.23808077879607,988.8793,1274.022,0.23420218440840246,0.1761857511302099,0.0,1.0,1.0
MDL_Train,755.5652222087509,202.66530932281017,513.9783375469079,1435.6472442853888,0.26211894845921296,0.2198894937662418,0.0,1.0,1.0
PSM_Train,0.022171221034653046,0.10166213396976273,0.0,0.9237599937560864,0.024001062163888455,0.11005254033181906,0.0,1.0,1.0
Extrapolation_Divergence,1.6444375317889075,2.0755673622971917,0.0,10.0,0.16444375317889073,0.20755673622971918,0.0,1.0,1.0
Sensitivity_Interpolation_SVP,1.5147952824930875,2.3884408271651623,0.0,10.0,0.15147952824930874,0.23884408271651655,0.0,1.0,1.0
Sensitivity_Interpolation_MVP,1.5827009807821797,2.2599355252627884,0.0,10.0,0.15827009807821796,0.2259935525262783,0.0,1.0,1.0
Sensitivity_Extrapolation_SVP,2.126785550772367,3.149466743305062,0.0,10.0,0.2126785550772367,0.31494667433050477,0.0,1.0,1.0
Sensitivity_Extrapolation_MVP,2.3813478131394077,3.0992839155564313,0.0,10.0,0.23813478131394078,0.3099283915556432,0.0,1.0,1.0
