Metric,Pre_Norm_Mean,Pre_Norm_Std,Pre_Norm_Min,Pre_Norm_Max,Post_Norm_Mean,Post_Norm_Std,Post_Norm_Min,Post_Norm_Max,Post_Norm_Range
MSE_Train,2.912117712282702,2.0248220440936233,0.5995192298269167,13.780862338507664,0.17544482860269323,0.15361272575934584,0.0,1.0,1.0
AIC_Train,154.31627939610394,14.246418250092418,112.1655044555664,220.2172393798828,0.390098085607432,0.1318481212733062,0.0,1.0,1.0
BIC_Train,170.12232503190185,21.320094589807532,124.02285,300.97668,0.2605169666680955,0.1204839397361874,0.0,1.0,1.0
MDL_Train,291.6003357587485,187.23279637200238,86.52284284154175,909.0405340608464,0.24932897505608514,0.2276337620099666,0.0,1.0,1.0
PSM_Train,0.025520799817951245,0.04354721825007325,0.0,0.4764988485586169,0.053558995777534986,0.09138997582428841,0.0,1.0,1.0
Extrapolation_Divergence,0.9941103386502002,0.5734668002139821,0.0,5.7309232038396285,0.17346425755350584,0.1000653437180537,0.0,1.0,1.0
Sensitivity_Interpolation_SVP,0.44326303720632143,0.867195602713183,0.0,10.0,0.04432630372063215,0.08671956027131833,0.0,1.0,1.0
Sensitivity_Interpolation_MVP,0.639428163188985,1.398994631583071,0.0,10.0,0.0639428163188985,0.1398994631583071,0.0,1.0,1.0
Sensitivity_Extrapolation_SVP,0.9114379378647124,1.998714699646833,0.0,10.0,0.09114379378647124,0.19987146996468327,0.0,1.0,1.0
Sensitivity_Extrapolation_MVP,1.0128564558329063,1.9720907889936932,0.0,10.0,0.1012856455832906,0.19720907889936948,0.0,1.0,1.0
