Run,Equation_Index,Complexity,Constant_Num,Total_Symbols,Distinct_Symbols,MSE_Train,MSE_Test_Interpolation,MSE_Test_Extrapolation,Sigma_Train,Log_likelihood_Train,AIC_Train,BIC_Train,MDL_Train,PSM_Train,Sensitivity_Interpolation_SVP,Sensitivity_Extrapolation_SVP,Sensitivity_Interpolation_MVP,Sensitivity_Extrapolation_MVP,Extrapolation_Divergence
12,0,1,1,1,1,424.59974081746117,665.4005912124446,1370.3674146686938,20.60562508679618,-173.33596801757812,348.67193603515625,350.3355,174.96503040853014,0.0,0.0,0.0,0.0,0.0,0.0
12,1,3,1,3,3,391.51798681118424,631.0199123723792,1242.152432757561,19.781114324500255,-171.7542266845703,345.5084533691406,347.17203,176.67954384267026,0.04055758627243639,0.0008327828413747018,0.00042091251907015075,0.0008327828413747018,0.00042091251907015075,0.47674796233562544
12,2,4,1,4,4,385.2041153478459,609.7904264849024,1347.101819409375,19.596347128701343,-171.43727111816406,344.8745422363281,346.53812,178.61381036521226,0.016258190726407842,0.00658531195462218,0.0009673351941072829,0.00658531195462218,0.0009673351941072829,0.3896581240831986
12,3,5,2,5,5,202.59778087821434,343.40231052328625,793.0278288827582,13.750710630249088,-158.9550018310547,321.9100036621094,325.23712,168.68216643937882,0.6425508452475643,0.06906244886336169,0.034906157860125776,0.06906244886336169,0.034906157860125776,0.6109875838930328
12,4,6,2,6,6,157.68404396788998,272.37484701088874,591.9077462290362,11.915527410253963,-154.13133239746094,312.2626647949219,315.58978,166.58768972456758,0.25062928675660284,0.12697209009938762,0.06417536438083957,0.12697209009938762,0.06417536438083957,0.6166094480658795
12,5,7,2,7,6,125.83060161955484,190.73467491050963,318.1616218615943,10.28341534347268,-149.93247985839844,303.8649597167969,307.19208,164.2291670802377,0.2256567497794156,0.2762497954534474,0.13962463144050366,0.2762497954534474,0.13962463144050366,0.6217861345026495
12,6,9,3,11,9,105.78340880721109,182.11605706658636,221.96229004625184,10.28341534347268,-146.23577880859375,298.4715576171875,303.46225,172.03454392738695,0.08677135338260024,0.27624979545344713,0.13962463144050433,0.27624979545344713,0.13962463144050433,0.6217861345026496
12,7,10,2,13,8,103.19876855420925,128.6697676752034,112.27751222236888,9.394746008252103,-146.00469970703125,296.0093994140625,299.33652,174.77960253108373,0.024736859629344417,0.5447923569854907,0.28189884489039896,0.5447923569854907,0.28189884489039896,0.6356677703179546
12,8,11,2,13,9,85.9259104778434,145.16798593694006,203.42643457830945,9.244916486702301,-142.1818389892578,288.3636779785156,291.6908,172.37880464031085,0.18317150158165205,0.315038343000703,0.1962889745899024,0.315038343000703,0.1962889745899024,0.6173916546895524
12,9,12,2,16,9,82.75926137503876,152.54903317990545,320.11822858586856,9.097207187232025,-141.44935607910156,286.8987121582031,290.22583,178.2339982643656,0.03754961837078177,0.5962386413096241,0.26752894668214294,0.5962386413096241,0.26752894668214294,0.5541846837698402
12,10,13,2,16,10,82.28633552905482,168.51417762393666,426.74312723382127,9.02399823485979,-141.33865356445312,286.67730712890625,290.00443,179.81686562322759,0.005730795541392213,0.24897270260018545,0.11040341255782457,0.49749200118277204,0.22079972038878365,0.6167043682212906
12,11,14,2,19,10,78.76987787993133,163.95760608575492,336.4290045275904,8.87427852419635,-140.48594665527344,284.9718933105469,288.299,185.86427432806985,0.04367455243897002,0.2991711451746414,0.13437402192083575,0.5970880810431183,0.26873886885150905,0.5963016884317933
12,12,16,3,21,11,77.23373280815072,150.14843463193176,315.31838054328983,8.788255428372421,-140.10191345214844,286.2038269042969,291.19452,192.08676530529834,0.009847116419913834,0.3323318483589354,0.14926829607951259,0.6632704684481369,0.2985264001953691,0.596804289173011
12,13,17,5,21,13,62.70020366636747,190.11160102124109,562.3025627414271,7.918044620211009,-136.03671264648438,282.07342529296875,290.39124,191.52975445309517,0.20847164522634803,1.9520235981835081,9.403344231274435,3.9067221245322994,18.755383162132087,1.3906288282637715
12,14,19,5,24,13,60.50978703723788,186.21894877291012,809.0361242610015,7.7586158817502495,-135.34356689453125,280.6871337890625,289.00494,198.5352924436515,0.017779707994109904,1.9132490087284533,12.166230689434675,3.8284788969546653,24.262409150850683,1.4070711758108403
12,15,21,6,25,14,54.603110190972366,199.72694588037137,770.7808413004276,7.362374716088399,-133.34091186523438,278.68182373046875,288.6632,200.95187753519863,0.05135705855588091,82.40981965146922,12.151758755011882,122.67277972499923,24.2331172569977,1.2785900969426498
12,16,22,6,28,14,53.94795687683523,202.8049263030842,711.71665822649,7.344731172739223,-133.10498046875,278.2099609375,288.19135,208.6276739902668,0.012071348119134828,1.9202565216588268,12.153126612541984,3.8423085059164555,24.23590247166025,1.4348142901633725
12,17,24,6,31,14,53.31850791622728,188.43812013684877,765.0312010187416,7.301869816295977,-132.87612915039062,277.75225830078125,287.73364,216.31597174730612,0.005868126810069447,1.9358085331128971,12.166221982208665,3.8735632549082957,24.26239397841288,1.4070493441691936
12,18,25,7,29,14,48.12926900510668,204.67842184126556,600.0518973693286,6.87315736041333,-130.88287353515625,275.7657470703125,287.41068,209.05850239172247,0.10239303448928817,1.6373562669772355,10.429142532413639,3.2763436767074143,20.798017834636465,1.4119040990551621
