Run,Equation_Index,Complexity,Constant_Num,Total_Symbols,Distinct_Symbols,MSE_Train,MSE_Test_Interpolation,MSE_Test_Extrapolation,Sigma_Train,Log_likelihood_Train,AIC_Train,BIC_Train,MDL_Train,PSM_Train,Sensitivity_Interpolation_SVP,Sensitivity_Extrapolation_SVP,Sensitivity_Interpolation_MVP,Sensitivity_Extrapolation_MVP,Extrapolation_Divergence
22,0,1,0,1,1,15506.350167498704,33113.883336620966,162865.23873615635,99.46692456403613,-945.362060546875,1890.72412109375,1890.7241,947.9724951176036,0.0,0.000853717427360833,0.0006515814160946591,0.000853717427360833,0.0006515814160946591,0.3069494424089959
22,1,2,1,1,1,14889.5854078788,32359.980176562007,161027.03337403666,100.01327045280874,-940.2785034179688,1882.5570068359375,1885.5676,942.8559709404874,0.040587642196560705,0.0,0.0,0.0,0.0,0.0
22,2,3,1,3,3,13536.689134639006,30872.63023965941,155909.61561150508,100.43920900321137,-929.9129028320312,1861.8258056640625,1864.8364,935.7183004492844,0.09525827238443692,0.0003673742426029512,0.000994543744275399,0.0003673742426029512,0.000994543744275399,0.8761601120698977
22,3,4,1,4,4,9974.961912975037,11039.908707201594,160404.445689424,72.3993137698301,-922.896484375,1847.79296875,1850.8036,931.172416146497,0.30532564987482885,88.8091160868879,1887.2593151640497,88.8091160868879,1887.2593151640497,1.7129065840448998
22,4,5,2,5,5,9438.670804612577,24517.713332551284,123613.41502102857,97.14141502894762,-899.2835693359375,1802.567138671875,1808.5884,909.6335199677361,0.05526307853998738,0.012752576270811104,0.05716711350604025,0.012752576270811104,0.05716711350604025,1.0514951538052586
22,5,6,2,8,6,7978.056742734726,14396.9980634406,88305.43769940993,75.62619597018104,-891.3310546875,1786.662109375,1792.6833,908.200335385509,0.1681200011421085,3.7738621990354546,33.95041221330521,3.7738621990354546,33.95041221330521,1.0543825466033006
22,6,8,3,13,7,4142.235770200024,3824.6945196948814,41766.2222901964,54.76229689624544,-841.8846435546875,1689.769287109375,1698.8011,869.7101939302388,0.32772961732792755,18.355488688431425,165.12961377025914,18.355488688431425,165.12961377025914,1.0560454489141018
22,7,10,4,18,10,4141.642432544296,3824.195045175583,41763.49107320489,54.76229689624543,-841.8698120117188,1691.7396240234375,1703.7822,885.8449675904773,7.170554672801509e-05,18.35548868843142,165.12961377025914,18.35548868843142,165.12961377025914,1.0560454489141018
22,8,13,3,19,11,3878.523075569098,3991.913460970618,1242861455.25889,37.99593664520665,-884.95263671875,1775.9052734375,1784.9371,933.4458523006311,0.021879202369175847,20.841352629440145,153.75437580635986,62.6108374644831,461.6759379172846,1.0075831128691155
22,9,14,3,17,10,2064.33666260183,6143.411082246365,42706.50626169505,45.32544295015349,-785.2839965820312,1576.5679931640625,1585.5999,826.7341442799012,0.6306457562948621,4.410256066987724,35.31015078052118,4.410256066987724,35.31015078052118,1.0361788192807473
22,10,16,3,17,10,1335.9649981588186,3309.69076213241,2860752555.4092,34.6687363518878,-753.0809326171875,1512.161865234375,1521.1937,794.604805189002,0.21757746864452068,22.52687574034682,210.05732277148698,45.20777078231123,421.3250791469847,1.2347538880468862
22,11,17,3,18,10,1186.5631973640498,690.0043634160278,6596360142.474134,33.7696643857529,-743.8118896484375,1493.623779296875,1502.6556,787.5904866721494,0.11859304976478824,51.24249479637661,482.2568001576367,102.8386848680628,967.2959877329638,1.2563709586565655
22,12,19,3,22,11,596.8732999965372,883.3817241595593,1228491526.6633756,24.255974646342615,-692.2264404296875,1390.452880859375,1399.4847,747.2934674373059,0.34355606510005277,18.335285686227856,179.02205260482117,36.744605563935885,358.60958215000613,1.1454009779543055
22,13,21,3,24,12,288.87618982230856,743.4982428114643,1230817179.6342294,16.75968729126313,-637.8204345703125,1281.640869140625,1290.6727,699.7816684976863,0.3628528650859791,12.940271504961732,122.06794642821093,38.87992111334645,366.5931533166123,1.1216166488728336
22,14,23,4,26,13,280.9367343267429,769.7367054922768,1230776904.457457,16.759687291263127,-635.7005004882812,1279.4010009765625,1291.4436,704.6919014342245,0.01393433135542844,12.940271504961734,122.06794642821104,38.87992111334645,366.5931533166126,1.1216166488728336
22,15,24,4,28,13,249.55505488936024,648.8960802944188,1231034683.0957708,15.305324949093304,-626.9701538085938,1261.9403076171875,1273.9829,701.1380589764985,0.11845048136827944,13.123259046159232,122.68279336784146,39.42986033796032,368.43960657656345,1.1225989403600367
