Run,Equation_Index,RMSE_Train,RMSE_Test_Interpolation,RMSE_Test_Extrapolation
8,0,123.26745810035821,76.4317810991162,357.6519550365368
8,1,123.01151415394526,76.42257974356036,355.43856977775516
8,2,87.7988620653534,77.78763572627702,253.55200936257518
8,3,24.867106529986167,24.67453413153272,129.1701216261844
8,4,22.108513360523183,22.177945838662506,130.0897613806112
8,5,17.00476182853133,16.30454890575121,87.35202701702234
8,6,15.615016663221038,16.632471005250668,74.53638066943142
8,7,14.986358661123838,16.639508337085427,343.1650664063234
8,8,13.172707137815861,16.270069062929522,912.8219725119685
8,9,11.99341021158558,14.854578287166516,917.1949075942688
8,10,11.296275558458449,15.11979814504396,1019.0324989435935
8,11,10.672317776613522,16.370531393068305,114.2813516697781
8,12,9.94305753573099,11.54384090394442,82.95449725422154
8,13,8.374837844131763,8.685548071246,77.51228564307641
8,14,7.836519174144986,9.029908087282159,80.57962243138451
8,15,6.402841554555395,8.68253362146802,424.6022424101916
8,16,6.366825410251482,8.581455343679066,424.98178297418974
8,17,6.098096366547187,8.458849036264915,3110.0202363641624
8,18,5.92787331090867,7.674164801788623,7770.3215488715705
8,19,5.818443388668458,8.680413701123667,3382.594812882046
8,20,5.727441800492163,8.710696459444108,3939.401699411794
8,21,5.626573069595468,8.134060627820054,3942.617987919082
8,22,5.546509195411068,8.030585437046216,3941.4132335559248
8,23,5.477813486475767,8.004991892223185,3941.1531524234906
8,24,5.475389027528585,7.837251356555707,3654.237434205714
8,25,5.324553996128384,7.1630567323679735,3655.697523214386
8,26,5.112433564892502,6.745933463670862,3834.7210005804973
8,27,4.924265439779991,6.42122324658549,3833.654444347817
8,28,4.923751324845118,6.4187132047903415,3795.849605881016
8,29,4.79626685443011,5.555565236510819,3837.404742530726
8,30,4.374387625317391,5.058745114498186,796.8238191770738
8,31,4.300941932437692,5.114777694541719,797.0401914807692
8,32,4.30094193401237,5.114777675136515,797.0401913919051
8,33,4.133917428531875,4.9410098247437455,801.4803696405573
8,34,4.0533758765078955,4.758271661492966,801.2220885480566
8,35,3.9866932181927535,4.710918116387409,800.173149257033
8,36,3.966362155003664,4.224050529191159,798.2015911387851
8,37,3.958025558556837,3.894838893201696,797.2357648671352
8,38,3.9374791094893338,4.128462101154562,798.2061315125222
8,39,3.8502394645836997,3.8653565176526317,798.8953060666705
8,40,3.822229446045001,3.864017505369002,798.7381370240058
8,41,3.8089215408086607,3.6325316297615506,798.9689328631125
8,42,3.7216360813021403,3.5313375569647665,800.402399344046
8,43,3.6900148682009606,3.5574019884089116,800.3502246648427
8,44,3.655724659193544,3.410395560836169,800.3494474202622
8,45,3.6550049578647283,3.4082633663984327,800.3467829506409
8,46,3.6428791948016648,3.4423622199280826,800.1333518940139
8,47,3.632856930041653,3.308518436942921,800.3454019334571
8,48,3.6212762361289896,3.220826499034991,800.3410868099473
8,49,3.419069306641056,5.2648387387469535,804.6199031245197
8,50,3.381147834089152,5.191436771223656,804.6971760054467
8,51,3.3752177277563384,5.1464813566415835,804.7616702881284
8,52,3.369316108319237,3.8040707291865634,810.094976146015
8,53,3.368419983242139,3.8013101325739433,810.1029174937212
8,54,3.313241525604065,3.7761431356486708,810.4709968933707
8,55,3.3071854962959226,3.7532696417353613,810.091267310493
8,56,3.298301029354129,3.7892390914712153,810.2710552091322
8,57,3.2512186948413246,4.079356473877366,809.7987762499096
8,58,3.241480966645668,3.9828481267633875,809.9746344353805
8,59,3.215454012006813,4.565855554258523,806.4754426367799
8,60,3.207184904076911,4.832127625935304,809.7634126910219
8,61,3.1817250106946036,4.9273042216561524,809.4798198994133
8,62,3.166368732574702,4.56401323251651,808.8491612520742
8,63,3.1411669445038086,4.258144746004516,810.5971580428653
8,64,3.1238409315486764,4.617170555531372,811.6300821370006
8,65,2.9619943936605755,4.478173454231143,812.1368072038202
8,66,2.9524256542960554,4.4626402350306345,812.1529459735292
8,67,2.8967939007913,4.050634540022499,810.8424425050475
8,68,2.8452143752937467,4.19942921630103,811.3216701362232
8,69,2.806230831490563,3.9360404831010136,799.3106618149135
8,70,2.79148519138886,4.539146687017702,811.4873929636021
8,71,2.750856344371184,4.5215923472438675,811.4868604291662
